Entity,Code,Year,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2023
Africa (UN),,30,,,,,,0.275524,0.278887,0.276234,0.275661,0.250301,0.225462,0.213668,0.188481,0.18183
Africa (UN),,31,,,,,,0.267764,0.27133,0.26878,0.267811,0.243414,0.219009,0.207055,0.180946,0.17411
Africa (UN),,32,,,,,,0.258267,0.261989,0.260114,0.258795,0.2353,0.210857,0.199041,0.17224,0.165432
Africa (UN),,33,,,,,,0.246343,0.250154,0.249283,0.247637,0.225741,0.201129,0.189961,0.162852,0.156324
Africa (UN),,34,,,,,,0.232369,0.236202,0.236585,0.234436,0.214858,0.190065,0.179716,0.152952,0.14677
Africa (UN),,35,,,,,,0.217937,0.221704,0.223355,0.22082,0.203149,0.178139,0.168562,0.142419,0.136463
Africa (UN),,36,,,,,,0.204959,0.208483,0.211153,0.208789,0.191323,0.165796,0.156393,0.131088,0.125225
Africa (UN),,37,,,,,,0.191165,0.194316,0.197686,0.195777,0.178255,0.152555,0.143248,0.1192,0.113473
Africa (UN),,38,,,,,,0.176493,0.179188,0.182893,0.181618,0.164059,0.138587,0.129297,0.106832,0.101333
Africa (UN),,39,,,,,,0.161898,0.164262,0.167893,0.167353,0.149508,0.1245,0.114947,0.094094,0.088887
Africa (UN),,40,,,,,,0.148216,0.150386,0.153518,0.153955,0.134963,0.11039,0.100056,0.080844,0.075969
Africa (UN),,41,,,,,,0.129726,0.131723,0.134162,0.134978,0.117265,0.094471,0.084436,0.067368,0.062984
Africa (UN),,42,,,,,,0.108073,0.109761,0.111469,0.112332,0.09736,0.077314,0.068325,0.053878,0.050061
Africa (UN),,43,,,,,,0.087095,0.088435,0.089469,0.090257,0.078488,0.061643,0.053844,0.041913,0.038614
Africa (UN),,44,,,,,,0.067962,0.069012,0.069407,0.070035,0.061492,0.048083,0.041542,0.031819,0.029007
Africa (UN),,45,,,,,,0.050637,0.051441,0.051324,0.051595,0.046779,0.03691,0.031862,0.024005,0.021601
Africa (UN),,46,,,,,,0.038127,0.038755,0.038318,0.038295,0.03536,0.028085,0.02414,0.017851,0.015886
Africa (UN),,47,,,,,,0.028307,0.028757,0.028196,0.02804,0.026373,0.021145,0.018162,0.013178,0.011608
Africa (UN),,48,,,,,,0.020624,0.020909,0.020389,0.020256,0.019361,0.015658,0.013484,0.009647,0.008434
Africa (UN),,49,,,,,,0.013169,0.013315,0.012933,0.012873,0.012408,0.010101,0.008705,0.006151,0.005349
Albania,ALB,15,,,,,,0.000574,0.008739,0,0,0,0,0.002069,0.001712,0.001503
Albania,ALB,16,,,,,,0.003493,0.018136,0.002492,0.002111,0.000435,0.000087,0.006133,0.005353,0.004222
Albania,ALB,17,,,,,,0.022173,0.047305,0.016499,0.009941,0.004736,0.003373,0.01519,0.008685,0.009866
Albania,ALB,18,,,,,,0.059119,0.091694,0.054919,0.0301,0.020904,0.021298,0.029332,0.016648,0.018385
Albania,ALB,19,,,,,,0.1125,0.144101,0.116776,0.065546,0.053197,0.053718,0.046319,0.034101,0.028173
Albania,ALB,20,,,,,,0.177788,0.20145,0.18706,0.111412,0.094479,0.095678,0.064887,0.038432,0.03849
Albania,ALB,21,,,,,,0.229431,0.245502,0.245185,0.158505,0.138197,0.12021,0.082242,0.046668,0.047694
Albania,ALB,22,,,,,,0.263754,0.277562,0.283522,0.197609,0.176082,0.135455,0.097557,0.058899,0.055564
Albania,ALB,23,,,,,,0.284792,0.297629,0.302203,0.223876,0.204517,0.145405,0.110398,0.064541,0.062769
Albania,ALB,24,,,,,,0.294862,0.307607,0.305805,0.236822,0.222565,0.152609,0.120278,0.07497,0.069446
Albania,ALB,25,,,,,,0.299623,0.310871,0.302999,0.237809,0.224732,0.163279,0.125568,0.078992,0.075492
Albania,ALB,26,,,,,,0.301869,0.308287,0.291609,0.231919,0.224247,0.16575,0.125847,0.081818,0.080879
